#,team,win,lose,rate,gap
Philadelphia 76ers,費城76人,56,26,0.683,-
Miami Heat,邁阿密熱火,50,32,0.61,6
New York Knicks,紐約尼克,48,34,0.585,8
Orlando Magic,奧蘭多魔術,43,39,0.524,13
Boston Celtics,波士頓塞爾提克,36,46,0.439,20
New Jersey Nets,紐澤西籃網,26,56,0.317,30
Washington Wizards,華盛頓巫師,19,63,0.232,37
Milwaukee Bucks,密爾瓦基公鹿,52,30,0.634,-
Toronto Raptors,多倫多暴龍,47,35,0.573,5
Charlotte Hornets,夏洛特黃蜂,46,36,0.561,6
Indiana Pacers,印第安納溜馬,41,41,0.5,11
Detroit Pistons,底特律活塞,32,50,0.39,20
Cleveland Cavaliers,克里夫蘭騎士,30,52,0.366,22
Atlanta Hawks,亞特蘭大老鷹,25,57,0.305,27
Chicago Bulls,芝加哥公牛,15,67,0.183,37
San Antonio Spurs,聖安東尼奧馬刺,58,24,0.707,-
Utah Jazz,猶他爵士,53,29,0.646,5
Dallas Mavericks,達拉斯獨行俠,53,29,0.646,5
Minnesota Timberwolves,明尼蘇達灰狼,47,35,0.573,11
Houston Rockets,休士頓火箭,45,37,0.549,13
Denver Nuggets,丹佛金塊,40,42,0.488,18
Vancouver Grizzlies,溫哥華灰熊,23,59,0.28,35
Los Angeles Lakers,洛杉磯湖人,56,26,0.683,-
Sacramento Kings,沙加緬度國王,55,27,0.671,1
Phoenix Suns,鳳凰城太陽,51,31,0.622,5
Portland Trail Blazers,波特蘭拓荒者,50,32,0.61,6
Seattle SuperSonics,西雅圖超音速,44,38,0.537,12
Los Angeles Clippers,洛杉磯快艇,31,51,0.378,25
Golden State Warriors,金州勇士,17,65,0.207,39
